Name,Image_URL,Image_URL_2,Description
Ice-cream bean,,,Inga edulis : Ice-cream beanFamily: FabaceaeOrigin : South AmericaHeight in its natural environment :  15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Queensland bottle tree,,,Brachychiton rupestris : Queensland bottle treeFamily : SterculiaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -8°CFlower colour : yellow with pinkDifficulty level : Beginner  Height about 10 to 30 cm (depending on seasons)  Fast grower
Tamarind tree,,,"Tamarindus indica : Tamarind treeFamily : FabaceaeOrigin : MadagascarHeight in its natural environment : 25 mHardiness : -1°CFlower colour: yellow, orange with red stripesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons) Medium grower"
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Native frangipani,,,Hymenosporum flavum  : Native frangipaniFamily: PittosporaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Weeping Boer-bean,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Parkinsonia aculeata,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Lakoocha fruit,,,We are also delighted to be able to offer youArtocarpus lacucha : LakoochaFamily: MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Bee-bee tree,,,"Tetradium daniellii : Bee-bee treeFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 20 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Chinaberry tree,,,Melia azedarach : Chinaberry treeFamily : MeliaceaeOrigin : IndiaHeight in its natural environment : 13 mHardiness : -7°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Flamboyant tree,,,Delonix regia rouge : Flamboyant treeFamille : CaesalpinioideaeOrigin: MadagascarHeight in its natural environmen : 10 mHardiness : 1°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Lisptick tree,,,Bixa orellana : Lisptick treeFamily: BixaceaeOrigin : South AmericaHeight in its natural environment : 7 mHardiness : -1°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Traveller's tree,,,Ravenala madagascariensis : Traveller's treeFamily : StrelitziaceaeOrigin : MadagascarHeight in its natural environment : 30 mHardiness : 15°CFlower color: blanc crèmeDifficulty level : Beginner  Height about 10 to 30 cm  Fast growth
Henkel's yellowwood,,,Podocarpus henkelii : Henkel's yellowwoodFamily: PodocarpaceaeOrigin : South AfricaHeight in its natural environment : 30 mHardiness : -5°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Womans Tongue Tree,,,Albizia lebbeck : Womans Tongue Tree Family: FabaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Canary Islands dragon tree,,,Dracaena draco : Canary Islands dragon treeFamily: DracaenaceaeOrigin : Canary IslandHeight in its natural environment : 20 mHardiness : -1°CFlower colour :whiteDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons)  Medium grower
Geiger tree,,,Cordia sebestena : Geiger treeFamily: BoraginaceaeOrigin : CaribbeansHeight in its natural environment : 9 mHardiness : -1°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Common cabbage tree,,,Cussonia spicata : Common cabbage treeFamily: AraliaceaeOrigin : South AfricaHeight in its natural environment : 15 mHardiness : -6°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Giant Dioon,,,Dioon spinulosum : Giant DioonFamily: CycadaceaeOrigin : MexicoHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Silk floss tree,,,"Chorisia speciosa : Silk floss treeFamily: MalvaceaeOrigin : Brasil, ArgentinaHeight in its natural environment : 18 mHardiness : -6°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Jacaranda tree,,,Jacaranda mimosifolia : Jacaranda treeFamily : BignoniaceaeOrigin : BrasilHeight in its natural environment : 50 mHardiness : -5°CFlower colour : blue to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Short leaves Ponytail palm,,,Beaucarnea gracilis : Short leaves Ponytail palmFamily : AsparagaceaeOrigin : MexicoHeight in its natural environment : 7 mHardiness : 1°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower
Soursop tree,,,"Annona muricata : Soursop treeFamily : AnnonaceaeOrigin : Brasil, PeruHeight in its natural environment : 10 mhardiness : 1°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Noni tree,,,"Morinda citrifolia : Noni treeFamily: RubiaceaeOrigin : India, AustraliaHeight in its natural environment : 5 mHardiness : 5°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Kapok tree,,,Ceiba pentandra : KapokierFamille : MalvacéesOrigine : Amérique du Sud et Amérique CentraleHauteur dans son milieu naturel : 70 mRusticité : 0°CCouleur de la floraison : blanc crèmeDifficulty level : Beginner  Hauteur : environ 10 à 30 cm (selon les saisons)  Croissance rapide
Jackfruit tree,,,Artocarpus heterophyllus : Jackfruit treeFamily : MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : 0°CColor flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Elephant's foot plant,,,"Beaucarnea recurvata : Elephant's foot plantFamily : AsparagaceaeOrigin : Guatemala, MexicoHeight in its natural environment : 8 mHardiness : 4°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Monkey puzzle tree,,,Araucaria araucana : Monkey puzzle treeFamily : AraucariaceesOrigin : ChiliHeight in its natural environment : 40 mHardiness : -12°CFlower colour : green conesDifficulty level : Expert  Height : about 10 / 20 cm  Slow grower
Lemon-scented gum tree,,,Corymbia citriodora : Lemon-scented gum treeFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 30 mHardiness : 2°CFlower colour : whiteDifficulty level : Expert  Height : about 10 to 30 cm (depending on seasons)  Fast grower
African tulip tree,,,Spathodea campanulata :African tulip treeFamily : BignoniaceaeOrigin : Equatorial AfricaHeight in its natural environment : 25 mHardiness : -1°CFlower colour : red & orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Emblic tree,,,Phyllanthus emblica : Emblic treeFamily : EuphorbiaceaeOrigin : AsiaHeight in its natural environment : 10 mHardiness : -1°CFlower colour : yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Sugar-apple tree,,,Annona squamosa :Sugar-apple treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Brazilian cherry tree,,,Eugenia brasiliensis : Brazilian cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -5°CColour of the flower : WhiteLevel of difficulty : easyDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Colombian Pinwheel Tree,,,"Lafoensia acuminata : Colombian Pinwheel TreeFamily : LythraceaeOrigin : Colombia, Brasil BoliviaHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Jujube tree,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Pink sugar-apples tree,,,Pink Annona squamosa : Pink sugar-apples treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Strawberry guava,,,Psidium cattleianum : Strawberry Guava Family: MyrthaceaeOrigin : BrasilHeight in its natural environment : 7mHardiness : -5°CColour of the flower :White  Height : about 5 to 20 cm (depending on seasons)  Slow grower
Adansonia za,,,Adansonia za : Adansonia zaFamily: MavaceaeOrigin : MadagascarHeight in its natural environment : 20 mHardiness : 5°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Medium grower
Indian jujube,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Purple Cabbage Tree,,,Cordyline australis 'purpurea' : Purple Cabbage TreeFamily: AgavaceaeOrigin : New ZealandHeight in its natural environment : 9 mHardiness : -8°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Papaya tree 'solo',,,Carica papaya 'solo' : Papaya tree 'solo'Family : CaricaceaeOrigin : MexicoHeight in its natural environment : 7 mRusticity : 4°CColour of the flower : creamDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Madagascar baobab,,,Adansonia madagascariensis : Madagascar baobabFamily : BombacaceesOrigine : MadagascarHeight in its natural environment: 15 mHardiness : 4°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Sausage tree,,,Kigelia africana : Sausage treeFamily: BignoniaceaeOrigin : SenegalHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
African baobab,,,Adansonia digitata: African baobabFamily : BombacaceesOrigin : Central Africaeight in its natural environment : 30 mHardiness: 5°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Spanish tamarind,,,Vangueria madagascariensis : Spanish tamarindFamily : RubiaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness : 2°CColour of the flower : yellow /greenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Cashew tree,,,Anacardium occidentale : Cashew treeFamily : AnacardiaceaeOrigin : South AmericaHeight in its natural environment : 12 mHardiness : 12°CFlower colour : white and pinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Grandidier's baobab,,,Adansonia grandidieri : Grandidier's baobabFamilly : BombacaceesOrigin : MadagascarHeight in its natural environment : 30 mHardiness : 1°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Surinam cherry tree,,,Eugenia uniflora : Surinam cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Makha tree,,,"Afzelia xylocarpa : Makha treeFamily : FabaceaeOrigin : Cambodia, Vietnam, LaosHeight in its natural environment : 30 mHardiness : 0°CFlower colour : green and orangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
